Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Month Name,Cost
1/20/2024,Laptop,Electronics,South,3,1557,181.08,January,1375.92
1/27/2022,Monitor,Accessories,South,6,3672,1002.5,January,2669.5
3/29/2023,Mouse,Accessories,West,1,333,72.34,March,260.66
1/17/2022,Headphones,Accessories,West,4,2384,577.26,January,1806.74
11/26/2024,Mouse,Accessories,West,6,888,210.39,November,677.61
9/19/2024,Laptop,Electronics,West,5,3280,954.17,September,2325.83
7/20/2023,Mouse,Accessories,South,7,1239,177.39,July,1061.61
5/3/2024,Headphones,Accessories,East,8,5880,436.85,May,5443.15
9/3/2022,Smartphone,Electronics,West,2,1668,437.3,September,1230.7
7/9/2024,Printer,Office,West,7,4109,1037.64,July,3071.36
11/17/2022,Smartwatch,Electronics,West,7,595,148.5,November,446.5
12/28/2023,Headphones,Accessories,East,7,8155,1587.91,December,6567.09
5/30/2022,Monitor,Accessories,South,3,1872,553.1,May,1318.9
4/17/2024,Smartwatch,Electronics,East,6,2124,126.03,April,1997.97
9/30/2024,Monitor,Accessories,West,5,5210,1338.8,September,3871.2
6/2/2024,Mouse,Accessories,South,7,5761,362.48,June,5398.52
9/26/2022,Headphones,Accessories,South,7,6895,1596.35,September,5298.65
12/17/2024,Smartwatch,Electronics,East,3,2118,317.08,December,1800.92
10/9/2024,Smartwatch,Electronics,North,5,830,58.28,October,771.72
7/14/2023,Smartwatch,Electronics,North,1,851,93.56,July,757.44
12/5/2023,Tablet,Electronics,East,5,4730,1365.63,December,3364.37
6/3/2022,Mouse,Accessories,West,6,5460,845.75,June,4614.25
12/28/2024,Headphones,Accessories,East,5,5795,310.6,December,5484.4
8/6/2022,Laptop,Electronics,South,4,2008,338.44,August,1669.56
6/6/2023,Mouse,Accessories,South,7,2842,425.24,June,2416.76
2/1/2024,Mouse,Accessories,East,4,3404,392.22,February,3011.78
5/31/2023,Smartwatch,Electronics,West,1,1065,228.63,May,836.37
6/14/2024,Tablet,Electronics,West,7,2149,121.69,June,2027.31
8/14/2024,Keyboard,Accessories,East,8,5912,1143.04,August,4768.96
2/1/2023,Mouse,Accessories,West,3,3348,331.28,February,3016.72
4/28/2024,Smartphone,Electronics,South,3,2409,531.79,April,1877.21
4/5/2024,Tablet,Electronics,North,2,328,39.51,April,288.49
1/31/2024,Smartphone,Electronics,West,8,6224,1561.42,January,4662.58
1/9/2024,Smartwatch,Electronics,North,5,2530,486.09,January,2043.91
4/6/2022,Headphones,Accessories,West,4,4108,462.17,April,3645.83
5/22/2024,Printer,Office,South,5,1640,391.36,May,1248.64
12/30/2023,Laptop,Electronics,South,1,111,19.33,December,91.67
3/17/2022,Headphones,Accessories,North,1,445,128.89,March,316.11
5/24/2022,Printer,Office,North,4,3600,623.72,May,2976.28
6/9/2024,Mouse,Accessories,North,3,1335,176.44,June,1158.56
12/1/2024,Keyboard,Accessories,South,5,3090,242.15,December,2847.85
10/20/2023,Printer,Office,East,5,3910,538.52,October,3371.48
3/5/2024,Camera,Electronics,South,1,219,32.67,March,186.33
12/5/2022,Smartphone,Electronics,West,5,390,27.77,December,362.23
8/5/2022,Laptop,Electronics,North,6,3294,359.61,August,2934.39
3/21/2023,Keyboard,Accessories,West,4,4572,1038.05,March,3533.95
2/8/2022,Monitor,Accessories,South,7,980,109.94,February,870.06
4/1/2023,Headphones,Accessories,North,2,2262,532.12,April,1729.88
12/14/2022,Camera,Electronics,South,7,7518,1655.91,December,5862.09
5/14/2022,Camera,Electronics,South,1,873,158.97,May,714.03
2/16/2022,Mouse,Accessories,North,6,1512,423.03,February,1088.97
8/28/2024,Laptop,Electronics,West,1,705,165.16,August,539.84
10/30/2023,Smartwatch,Electronics,North,8,3256,533.7,October,2722.3
6/24/2023,Tablet,Electronics,West,4,556,81.77,June,474.23
5/17/2023,Mouse,Accessories,East,9,7101,2105.82,May,4995.18
4/6/2023,Laptop,Electronics,West,9,8802,1344.96,April,7457.04
3/26/2023,Headphones,Accessories,South,6,5592,1294.16,March,4297.84
10/12/2024,Tablet,Electronics,North,2,1852,168.92,October,1683.08
6/26/2022,Monitor,Accessories,East,1,195,57.88,June,137.12
4/15/2022,Mouse,Accessories,East,9,7884,2054.02,April,5829.98
12/10/2023,Laptop,Electronics,East,5,4360,1160.55,December,3199.45
9/23/2024,Mouse,Accessories,North,6,4920,929.18,September,3990.82
1/1/2022,Mouse,Accessories,East,3,3474,565,January,2909
2/3/2022,Keyboard,Accessories,West,1,930,222.5,February,707.5
3/14/2023,Tablet,Electronics,South,7,1421,248.02,March,1172.98
8/24/2022,Headphones,Accessories,North,2,634,161.1,August,472.9
7/7/2024,Camera,Electronics,East,1,673,114.42,July,558.58
4/13/2022,Mouse,Accessories,South,5,3135,787.7,April,2347.3
5/8/2024,Smartphone,Electronics,East,6,882,184.48,May,697.52
9/10/2024,Smartphone,Electronics,East,4,1192,212.77,September,979.23
6/18/2024,Printer,Office,South,3,390,112.08,June,277.92
9/10/2024,Tablet,Electronics,North,1,834,95.54,September,738.46
5/6/2022,Smartphone,Electronics,East,6,612,83.75,May,528.25
6/18/2024,Headphones,Accessories,West,9,8073,710.23,June,7362.77
10/29/2023,Keyboard,Accessories,North,8,2640,723.88,October,1916.12
11/13/2023,Smartphone,Electronics,North,3,3234,440.7,November,2793.3
8/21/2022,Monitor,Accessories,West,5,4435,355.51,August,4079.49
3/4/2024,Smartwatch,Electronics,North,2,2302,305.07,March,1996.93
4/17/2022,Camera,Electronics,East,6,1728,307.44,April,1420.56
12/20/2023,Laptop,Electronics,East,4,228,54.05,December,173.95
3/19/2022,Tablet,Electronics,West,6,3450,705.74,March,2744.26
7/7/2024,Smartphone,Electronics,South,8,7456,1702.48,July,5753.52
4/30/2023,Smartphone,Electronics,West,6,4728,705.85,April,4022.15
3/22/2024,Smartwatch,Electronics,North,7,945,124.62,March,820.38
3/8/2022,Laptop,Electronics,North,4,296,65.05,March,230.95
9/15/2023,Smartphone,Electronics,West,4,640,149.89,September,490.11
3/1/2023,Tablet,Electronics,North,1,797,65.27,March,731.73
10/24/2023,Monitor,Accessories,North,4,1456,431.89,October,1024.11
4/22/2024,Monitor,Accessories,South,6,4038,364.11,April,3673.89
6/27/2023,Tablet,Electronics,West,7,5656,355.81,June,5300.19
4/13/2023,Mouse,Accessories,West,4,3876,302.37,April,3573.63
5/19/2023,Keyboard,Accessories,South,6,1002,114.7,May,887.3
11/15/2024,Headphones,Accessories,East,9,2187,413.76,November,1773.24
12/25/2023,Mouse,Accessories,North,6,7146,1627.42,December,5518.58
3/31/2022,Keyboard,Accessories,South,1,189,14.88,March,174.12
4/24/2024,Monitor,Accessories,East,5,940,266.02,April,673.98
1/10/2022,Headphones,Accessories,North,1,951,127.58,January,823.42
11/17/2022,Printer,Office,East,2,124,27.42,November,96.58
6/29/2024,Mouse,Accessories,West,9,7506,594.28,June,6911.72
11/14/2022,Monitor,Accessories,West,7,8176,2308.76,November,5867.24
8/11/2023,Smartphone,Electronics,East,5,2125,632.68,August,1492.32
5/22/2024,Headphones,Accessories,North,1,967,59.98,May,907.02
3/19/2022,Headphones,Accessories,South,5,270,29.41,March,240.59
10/23/2022,Keyboard,Accessories,West,9,10035,1486.3,October,8548.7
2/26/2023,Printer,Office,North,8,6792,1125.23,February,5666.77
10/3/2024,Printer,Office,East,1,714,99.13,October,614.87
7/17/2022,Smartphone,Electronics,South,5,765,157.64,July,607.36
11/4/2024,Headphones,Accessories,East,7,4221,358.02,November,3862.98
2/24/2023,Laptop,Electronics,North,4,2108,576.48,February,1531.52
8/8/2024,Monitor,Accessories,North,9,10530,2387.63,August,8142.37
5/14/2024,Keyboard,Accessories,South,6,3396,914.17,May,2481.83
1/15/2022,Monitor,Accessories,North,4,1060,213.05,January,846.95
5/10/2022,Tablet,Electronics,East,5,480,73.07,May,406.93
3/10/2022,Headphones,Accessories,West,3,2529,285.65,March,2243.35
1/23/2022,Smartwatch,Electronics,East,8,4792,511.97,January,4280.03
9/19/2024,Smartwatch,Electronics,East,8,8056,605.8,September,7450.2
6/6/2024,Tablet,Electronics,North,4,4228,947.76,June,3280.24
10/10/2024,Tablet,Electronics,East,1,653,93.78,October,559.22
3/24/2024,Tablet,Electronics,North,9,7452,1212.51,March,6239.49
7/21/2023,Mouse,Accessories,East,4,4128,1156.71,July,2971.29
7/21/2022,Tablet,Electronics,West,5,5090,1201.56,July,3888.44
9/1/2022,Camera,Electronics,North,5,4930,387.33,September,4542.67
4/20/2023,Smartwatch,Electronics,South,6,2610,434.37,April,2175.63
12/11/2023,Laptop,Electronics,North,3,2139,415.84,December,1723.16
9/29/2024,Tablet,Electronics,South,1,226,55.4,September,170.6
11/20/2023,Smartwatch,Electronics,West,2,2244,212.08,November,2031.92
7/15/2023,Monitor,Accessories,East,6,3150,578.87,July,2571.13
12/24/2023,Laptop,Electronics,South,7,3388,347.19,December,3040.81
8/13/2023,Laptop,Electronics,East,8,8736,580.31,August,8155.69
4/24/2022,Smartphone,Electronics,South,2,1102,176.53,April,925.47
7/13/2024,Monitor,Accessories,East,3,2640,199.97,July,2440.03
6/11/2022,Printer,Office,West,3,2547,300.74,June,2246.26
10/28/2024,Laptop,Electronics,North,7,728,64.82,October,663.18
11/24/2022,Camera,Electronics,South,7,3444,607.44,November,2836.56
10/3/2024,Camera,Electronics,West,5,3140,853.66,October,2286.34
3/24/2024,Smartphone,Electronics,East,3,435,129.27,March,305.73
6/28/2024,Keyboard,Accessories,East,4,856,72.99,June,783.01
5/31/2022,Printer,Office,North,2,112,23.33,May,88.67
3/25/2024,Headphones,Accessories,North,3,2247,507.79,March,1739.21
1/31/2023,Keyboard,Accessories,West,2,1512,298.73,January,1213.27
6/23/2024,Mouse,Accessories,South,5,4915,1196.6,June,3718.4
8/16/2023,Mouse,Accessories,South,3,2709,663.54,August,2045.46
6/10/2023,Tablet,Electronics,North,7,1239,118.36,June,1120.64
5/9/2023,Tablet,Electronics,West,2,572,86.16,May,485.84
5/8/2022,Smartwatch,Electronics,North,2,1708,93.25,May,1614.75
11/6/2024,Smartwatch,Electronics,North,4,360,42.66,November,317.34
12/8/2022,Camera,Electronics,North,6,3822,388.34,December,3433.66
9/25/2022,Camera,Electronics,North,6,4680,932.97,September,3747.03
7/10/2024,Camera,Electronics,North,5,2520,487.18,July,2032.82
3/29/2024,Smartwatch,Electronics,North,2,2138,619.29,March,1518.71
1/11/2022,Keyboard,Accessories,West,3,2529,169.6,January,2359.4
4/8/2022,Keyboard,Accessories,East,1,236,29.33,April,206.67
1/21/2024,Tablet,Electronics,West,6,2730,636.48,January,2093.52
4/27/2023,Headphones,Accessories,North,3,3021,872.49,April,2148.51
11/6/2024,Smartwatch,Electronics,North,2,244,16.78,November,227.22
5/11/2022,Camera,Electronics,South,8,728,120.06,May,607.94
10/2/2022,Mouse,Accessories,North,3,453,89.49,October,363.51
1/12/2022,Laptop,Electronics,South,1,379,84.38,January,294.62
1/9/2023,Tablet,Electronics,West,3,2130,510.69,January,1619.31
5/4/2023,Monitor,Accessories,North,8,4120,710.11,May,3409.89
9/7/2024,Smartwatch,Electronics,South,7,3150,299.7,September,2850.3
5/17/2022,Smartwatch,Electronics,East,7,2688,603.07,May,2084.93
8/17/2023,Tablet,Electronics,East,2,1752,501.19,August,1250.81
9/7/2023,Keyboard,Accessories,North,7,7308,948.4,September,6359.6
5/11/2022,Tablet,Electronics,North,3,2007,160.84,May,1846.16
5/12/2023,Tablet,Electronics,West,7,7224,479.23,May,6744.77
5/8/2023,Monitor,Accessories,South,9,6939,1249.31,May,5689.69
2/18/2023,Smartphone,Electronics,East,7,5516,1475.67,February,4040.33
1/29/2022,Printer,Office,South,2,2224,116.47,January,2107.53
1/12/2023,Laptop,Electronics,South,5,3985,824.4,January,3160.6
1/3/2022,Camera,Electronics,North,7,2723,638.26,January,2084.74
10/20/2022,Tablet,Electronics,North,2,746,170.75,October,575.25
8/21/2024,Laptop,Electronics,West,5,3170,245.25,August,2924.75
12/11/2023,Smartwatch,Electronics,East,5,550,63.11,December,486.89
8/14/2022,Tablet,Electronics,North,8,480,132.45,August,347.55
6/3/2024,Printer,Office,East,4,3284,354.4,June,2929.6
1/23/2024,Smartwatch,Electronics,South,2,1748,183.75,January,1564.25
11/20/2023,Headphones,Accessories,North,8,824,240.84,November,583.16
3/3/2022,Headphones,Accessories,North,4,1872,448.46,March,1423.54
2/20/2024,Tablet,Electronics,West,3,627,103.98,February,523.02
8/9/2024,Camera,Electronics,East,9,5661,1104.02,August,4556.98
6/19/2022,Camera,Electronics,North,3,2910,765.47,June,2144.53
9/1/2024,Tablet,Electronics,South,9,9036,1087.46,September,7948.54
8/30/2024,Tablet,Electronics,West,5,4815,338.31,August,4476.69
8/12/2022,Mouse,Accessories,South,1,1187,206.28,August,980.72
8/4/2022,Headphones,Accessories,East,3,3339,732.92,August,2606.08
2/20/2024,Tablet,Electronics,East,1,620,165.43,February,454.57
2/26/2023,Camera,Electronics,West,5,2025,414.42,February,1610.58
11/20/2024,Printer,Office,East,5,3030,811.92,November,2218.08
8/12/2023,Smartwatch,Electronics,North,5,655,166.69,August,488.31
1/17/2022,Printer,Office,West,2,2238,294.54,January,1943.46
4/12/2023,Smartphone,Electronics,South,8,3312,811.31,April,2500.69
7/26/2023,Printer,Office,East,9,9387,1271.64,July,8115.36
1/1/2024,Mouse,Accessories,West,6,5790,1285.21,January,4504.79
12/6/2023,Laptop,Electronics,South,6,2700,527.97,December,2172.03
12/5/2023,Smartwatch,Electronics,East,8,2072,555.06,December,1516.94
10/27/2024,Keyboard,Accessories,North,3,2991,716.54,October,2274.46
8/4/2024,Laptop,Electronics,East,6,5568,958.59,August,4609.41
2/1/2023,Smartwatch,Electronics,North,7,5509,1648.74,February,3860.26
6/2/2024,Printer,Office,West,7,5922,1323.1,June,4598.9
4/28/2024,Smartphone,Electronics,South,4,4380,362.81,April,4017.19
3/25/2022,Tablet,Electronics,South,5,1760,272.68,March,1487.32
10/5/2024,Headphones,Accessories,North,9,5571,1523.81,October,4047.19
12/19/2024,Tablet,Electronics,South,2,1082,182.1,December,899.9
7/18/2022,Camera,Electronics,East,1,569,138.11,July,430.89
6/11/2023,Mouse,Accessories,North,8,3416,697.42,June,2718.58
10/13/2024,Printer,Office,West,1,570,57.07,October,512.93
8/7/2023,Monitor,Accessories,East,6,3300,386.92,August,2913.08
12/4/2022,Laptop,Electronics,South,8,2584,568.77,December,2015.23
2/18/2024,Monitor,Accessories,South,9,7650,2204.44,February,5445.56
12/5/2024,Headphones,Accessories,West,8,3600,272.51,December,3327.49
12/15/2023,Monitor,Accessories,West,6,846,190.87,December,655.13
8/12/2023,Smartphone,Electronics,West,1,51,9.36,August,41.64
5/20/2024,Smartwatch,Electronics,South,6,7056,586.91,May,6469.09
6/5/2024,Smartwatch,Electronics,West,2,384,38.41,June,345.59
1/9/2022,Laptop,Electronics,South,8,2928,663.54,January,2264.46
12/17/2023,Camera,Electronics,West,7,1904,352.86,December,1551.14
9/8/2022,Tablet,Electronics,East,2,2314,312.07,September,2001.93
1/22/2022,Printer,Office,South,4,1028,192.13,January,835.87
9/4/2024,Headphones,Accessories,South,9,8307,1326.23,September,6980.77
1/20/2024,Printer,Office,West,9,1539,203.54,January,1335.46
11/3/2022,Tablet,Electronics,West,7,2506,537.98,November,1968.02
7/3/2023,Smartphone,Electronics,West,6,5778,1232.54,July,4545.46
1/25/2024,Tablet,Electronics,East,9,10188,2165.78,January,8022.22
5/11/2024,Monitor,Accessories,North,1,952,157.7,May,794.3
1/2/2024,Smartwatch,Electronics,West,8,3624,750.86,January,2873.14
2/24/2023,Keyboard,Accessories,South,8,7968,1551.12,February,6416.88
7/20/2024,Mouse,Accessories,South,2,1254,250.09,July,1003.91
6/14/2023,Printer,Office,West,3,705,196.05,June,508.95
4/10/2022,Mouse,Accessories,West,1,916,223.5,April,692.5
10/1/2024,Printer,Office,North,2,848,129.96,October,718.04
5/10/2022,Monitor,Accessories,East,8,2240,313.17,May,1926.83
1/28/2022,Monitor,Accessories,South,1,940,120.35,January,819.65
4/5/2023,Headphones,Accessories,West,5,1550,203.51,April,1346.49
9/22/2023,Keyboard,Accessories,South,7,2352,256.4,September,2095.6
8/29/2024,Smartwatch,Electronics,North,9,1638,183.75,August,1454.25
11/18/2023,Camera,Electronics,North,6,7164,1442.72,November,5721.28
9/12/2023,Mouse,Accessories,East,1,205,54.54,September,150.46
5/26/2023,Keyboard,Accessories,North,2,766,49.23,May,716.77
4/30/2023,Keyboard,Accessories,North,1,168,17.84,April,150.16
11/1/2024,Mouse,Accessories,South,1,1058,207.55,November,850.45
5/6/2022,Keyboard,Accessories,South,5,1455,423.81,May,1031.19
5/10/2023,Camera,Electronics,East,2,2224,364.04,May,1859.96
11/4/2022,Smartphone,Electronics,West,7,1400,80.49,November,1319.51
5/9/2022,Smartphone,Electronics,East,7,7567,2213.18,May,5353.82
11/7/2022,Tablet,Electronics,East,6,3396,987.68,November,2408.32
8/11/2023,Smartwatch,Electronics,East,2,704,135.63,August,568.37
10/21/2024,Tablet,Electronics,East,9,7767,2172.19,October,5594.81
10/6/2024,Mouse,Accessories,West,5,2050,157.13,October,1892.87
8/8/2023,Monitor,Accessories,North,9,10458,2799.48,August,7658.52
1/19/2022,Camera,Electronics,South,4,4700,619.26,January,4080.74
4/30/2024,Smartphone,Electronics,North,2,892,222.51,April,669.49
12/26/2023,Laptop,Electronics,East,8,6968,1479.09,December,5488.91
4/7/2024,Laptop,Electronics,North,7,1344,300.88,April,1043.12
10/18/2022,Camera,Electronics,West,1,354,65.99,October,288.01
4/21/2024,Monitor,Accessories,South,3,3051,662.23,April,2388.77
3/26/2024,Camera,Electronics,South,3,402,106.87,March,295.13
10/31/2022,Monitor,Accessories,North,5,3570,517.82,October,3052.18
3/3/2023,Keyboard,Accessories,North,7,3829,876.35,March,2952.65
2/3/2023,Mouse,Accessories,North,7,4676,242.64,February,4433.36
4/15/2023,Keyboard,Accessories,East,3,1119,317.36,April,801.64
5/9/2023,Smartphone,Electronics,East,4,4228,764.3,May,3463.7
1/2/2022,Headphones,Accessories,North,8,1240,251.2,January,988.8
11/28/2024,Keyboard,Accessories,North,9,3591,342.18,November,3248.82
2/5/2022,Printer,Office,West,8,3952,451.08,February,3500.92
6/5/2024,Keyboard,Accessories,South,6,3648,1050.08,June,2597.92
11/15/2024,Monitor,Accessories,North,5,3875,768.74,November,3106.26
11/13/2023,Smartwatch,Electronics,West,8,3416,478.9,November,2937.1
2/19/2022,Tablet,Electronics,West,1,908,222.58,February,685.42
5/6/2024,Headphones,Accessories,South,4,4532,987.32,May,3544.68
8/4/2023,Headphones,Accessories,East,4,4168,650.15,August,3517.85
9/23/2023,Laptop,Electronics,North,3,3543,941.37,September,2601.63
9/14/2024,Laptop,Electronics,East,6,5124,1078.57,September,4045.43
3/17/2023,Smartwatch,Electronics,South,9,5751,1196.23,March,4554.77
9/29/2023,Camera,Electronics,East,2,624,139.64,September,484.36
12/1/2023,Camera,Electronics,South,1,508,151.29,December,356.71
9/13/2023,Headphones,Accessories,South,4,4700,914.6,September,3785.4
3/14/2022,Keyboard,Accessories,West,8,3216,639.78,March,2576.22
7/15/2023,Laptop,Electronics,West,6,2844,581,July,2263
5/29/2022,Smartphone,Electronics,West,5,2385,258.6,May,2126.4
1/16/2023,Monitor,Accessories,South,8,928,170.05,January,757.95
9/6/2023,Headphones,Accessories,North,6,4656,673.35,September,3982.65
3/29/2023,Headphones,Accessories,North,2,330,21.46,March,308.54
11/1/2023,Camera,Electronics,North,7,1799,274.11,November,1524.89
8/25/2022,Printer,Office,East,1,1029,173.61,August,855.39
12/30/2022,Headphones,Accessories,North,8,5432,1619.39,December,3812.61
9/4/2024,Camera,Electronics,West,5,5785,1191.11,September,4593.89
1/8/2024,Printer,Office,North,1,1062,272.42,January,789.58
12/27/2022,Keyboard,Accessories,North,1,163,22.07,December,140.93
4/14/2024,Smartphone,Electronics,West,9,9162,1625.62,April,7536.38
2/10/2023,Printer,Office,East,4,1440,130.24,February,1309.76
7/15/2023,Monitor,Accessories,South,5,1465,149.62,July,1315.38
10/27/2024,Monitor,Accessories,West,2,366,31.23,October,334.77
7/19/2024,Camera,Electronics,South,5,3135,277.28,July,2857.72
3/3/2024,Keyboard,Accessories,North,2,630,161.04,March,468.96
4/12/2024,Monitor,Accessories,South,1,213,42.94,April,170.06
6/20/2024,Monitor,Accessories,North,4,3792,1092.85,June,2699.15
6/21/2023,Mouse,Accessories,East,2,1932,109.07,June,1822.93
1/25/2023,Keyboard,Accessories,West,4,4152,317.28,January,3834.72
2/17/2024,Smartphone,Electronics,North,7,3612,529.57,February,3082.43
9/9/2024,Smartphone,Electronics,East,2,2258,280.76,September,1977.24
7/9/2022,Camera,Electronics,South,3,594,47.73,July,546.27
9/1/2023,Headphones,Accessories,West,7,8071,1799.06,September,6271.94
3/30/2024,Keyboard,Accessories,North,7,5838,631.45,March,5206.55
12/22/2024,Keyboard,Accessories,North,4,692,181.31,December,510.69
9/8/2024,Keyboard,Accessories,South,3,1704,309.06,September,1394.94
1/21/2023,Printer,Office,South,5,3235,941.24,January,2293.76
10/12/2023,Mouse,Accessories,East,6,4746,545.57,October,4200.43
8/1/2022,Smartwatch,Electronics,South,8,7600,788.88,August,6811.12
11/3/2023,Smartphone,Electronics,West,5,1935,128.01,November,1806.99
12/4/2023,Laptop,Electronics,North,3,1638,306.29,December,1331.71
6/30/2023,Keyboard,Accessories,West,7,4746,816.6,June,3929.4
2/1/2023,Smartphone,Electronics,North,8,4824,1187.93,February,3636.07
5/9/2022,Camera,Electronics,South,1,1193,153.72,May,1039.28
12/16/2023,Laptop,Electronics,East,2,562,92.94,December,469.06
3/20/2022,Smartphone,Electronics,North,8,6200,1296.84,March,4903.16
7/28/2024,Printer,Office,North,8,4128,315.48,July,3812.52
3/28/2022,Printer,Office,East,5,5405,326.56,March,5078.44
11/6/2024,Laptop,Electronics,North,3,1371,104.66,November,1266.34
1/1/2023,Keyboard,Accessories,West,5,1405,194.33,January,1210.67
3/18/2023,Keyboard,Accessories,North,3,1644,158.32,March,1485.68
9/18/2024,Mouse,Accessories,West,6,3414,396.92,September,3017.08
8/19/2024,Laptop,Electronics,East,8,3272,674.57,August,2597.43
6/18/2022,Smartphone,Electronics,North,3,2655,646.91,June,2008.09
5/29/2022,Smartwatch,Electronics,West,7,1673,458.32,May,1214.68
6/9/2022,Tablet,Electronics,East,2,846,145.09,June,700.91
5/3/2023,Smartphone,Electronics,East,1,985,196.64,May,788.36
11/17/2023,Smartwatch,Electronics,North,9,7551,894.4,November,6656.6
2/8/2022,Tablet,Electronics,North,5,855,217.16,February,637.84
10/23/2023,Camera,Electronics,South,2,396,94.55,October,301.45
8/24/2022,Tablet,Electronics,West,8,2296,560.48,August,1735.52
5/9/2024,Monitor,Accessories,North,6,1704,199.94,May,1504.06
3/12/2023,Smartphone,Electronics,East,2,1180,261.16,March,918.84
10/5/2022,Smartphone,Electronics,East,3,411,55.73,October,355.27
1/19/2022,Mouse,Accessories,East,1,745,151.22,January,593.78
5/9/2022,Printer,Office,West,9,10656,961.3,May,9694.7
5/23/2024,Mouse,Accessories,South,3,1494,178.5,May,1315.5
7/11/2024,Camera,Electronics,South,5,1755,358.01,July,1396.99
8/22/2022,Camera,Electronics,South,9,4941,894.52,August,4046.48
11/3/2024,Smartwatch,Electronics,North,6,6510,1539.18,November,4970.82
10/11/2024,Smartphone,Electronics,South,5,5465,719.92,October,4745.08
11/9/2024,Tablet,Electronics,South,3,3522,285.91,November,3236.09
4/1/2024,Tablet,Electronics,West,6,1656,139.86,April,1516.14
7/7/2022,Printer,Office,North,5,1255,257.15,July,997.85
6/10/2023,Keyboard,Accessories,East,1,1192,320.13,June,871.87
5/15/2023,Tablet,Electronics,West,5,1925,204.74,May,1720.26
6/8/2022,Tablet,Electronics,West,8,1688,337.33,June,1350.67
6/26/2023,Headphones,Accessories,South,1,260,16.81,June,243.19
1/19/2022,Monitor,Accessories,West,5,4880,1250.66,January,3629.34
4/10/2024,Keyboard,Accessories,West,7,1134,179.74,April,954.26
6/10/2022,Laptop,Electronics,North,9,9621,1201.29,June,8419.71
2/3/2023,Monitor,Accessories,South,4,2836,698.83,February,2137.17
5/15/2023,Printer,Office,North,9,5859,1153.89,May,4705.11
9/11/2022,Smartwatch,Electronics,South,2,2044,460.03,September,1583.97
7/1/2023,Monitor,Accessories,South,1,612,174.52,July,437.48
2/18/2022,Smartwatch,Electronics,North,3,1890,492.31,February,1397.69
9/30/2023,Smartwatch,Electronics,East,5,2025,168.82,September,1856.18
9/4/2023,Printer,Office,South,2,1960,312.06,September,1647.94
